Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
A 29-year-old pregnant woman is expecting twins and is seeking guidance on the management of her multiple pregnancy. She is concerned about the increased risks associated with multiple pregnancies and the health of her babies. She was told that the babies usually come out before term and that they always have a low birth weight.,Multiple pregnancies,"How has the patient's multiple pregnancy been managed, and what steps have been taken to address the increased risks and ensure the health of the babies?",Babies usually come out before term and they have a low birth weight.,"Babies are at risk of being delivered before term and having a low birth weight but this is not always the case. In many cases, multiple pregnancies have been carried to term.",Do an obstetric ultrasound scan. Attend ANC regularly. Take iron supplements regularly. Have a thourough abdominal examination done. Eat a balanced diet. Take plenty of fluids. Get enough rest. 
A 30-year-old pregnant woman with a history of anaemia is feeling weak and tired. She was told that anaemia is caused by sitting while cross-legged during pregnancy. She is worried about the impact of anaemia on her pregnancy and the health of her baby.,Goal-oriented ANC; Anaemia in pregnancy,"How has the patient's anaemia been managed during her antenatal care, and what steps have been taken to ensure the health of her baby?",Sitting while cross-legged causes anaemia in pregnancy.,"Anaemia is pregnancy occurs when the haemoglobin level is below 11g/dl, it can be mild moderate or severe. It is caused by excessive breakdown of red blood cells like in malaria or less preduction of red blood cells like in cases of iron deficiency.","Do tests for HB estimation, a full haemogram and other tests like urinalysis, sickle cells test, reticulocyte count, malaria test and others. Rest in propped up position. Administer oxygen by facemask. Administer fluids intravenously like normal saline. Transfuse with packed cells. Increase intake of iron supplements. Treat any underlying illness. "
"A 25-year-old pregnant woman who lives in a malaria-endemic region has been diagnosed with malaria. In her area, people say that malaria is caused by one saying a pittifull word to a malaria victim. She is concerned about the effects of malaria on her pregnancy and the well-being of her unborn child.",Management of malaria in pregnancy,"What measures have been taken to manage the patient's malaria during her pregnancy, and how has the health of the unborn child been considered?",Saying a pittiful word to a malaria victim gets the disease transferred to you.,"Pittying a malaria victim does not cause malaria, it is caused by a bite from an infected female anopheles mosquito.","Do a blood slide test, CBC, urinalysis, HIV serology test, blood culture and others. Take an analgesic and antipyretic like paracetamol. Take antimalarials prescribed from a recognized facility. Take plenty of fluids. Eat a balanced diet. Increase the nutritional intake of iron, proteins and vitamins."
A 32-year-old pregnant woman with a history of hypertension is experiencing headaches and swelling of her hands and feet.  She was told that this is caused when a pregnant woman jumps over the ashes from a bush fire. She is concerned about the risk of preeclampsia and the impact of hypertension on her pregnancy.,Management of hypertensive disorders in pregnancy,"How has the patient's hypertension been managed during her pregnancy, and what steps have been taken to prevent complications such as preeclampsia?",Jumping over ashes from a bush fire causes preeclampsia.,"This is not scientifically proved. Preeclampsia is caused by trophoblastic invasion from the placenta, vesseal narrowing, genetic predisposition and prior preeclampsia.","Do an obstetric ultrasound scan. Do tests like CBC, blood grouping and cross-matching, RFTs, LFTs and urinalysis. Administer magnesium sulphate to prevent convulsions. Administer antihypertensives and encourage patient to adhere. Draw a treatment plan. "
"A 28-year-old pregnant woman is experiencing severe nausea and vomiting, leading to dehydration and weight loss. She is worried about the effects of hyperemesis gravidarum on her health and the development of her baby. She was told that leaking clay soil can help prevent the vomiting.",Hyperemesis gravidarum,"How has the patient's hyperemesis gravidarum been diagnosed and managed, and what measures have been taken to ensure her well-being and the health of her baby?",Leaking clay soil prevents vomiting.,Clay soil is not scientifically proved to remedy hyperemesis gravidarum. It may even contain substances that maybe be disastrous to health.,"Get up slowly from the bed. Brush teeth one hour after a meal. Avoid spicy and fatty foods. Eat small, frequent meals. Eat dry foods like cassava. Drink ginger tea. Inhale peppermint oil. Take antiemetics like metoclopramide. Increase fluid intake to counter dehydration. "
"A 26-year-old pregnant woman has received the devastating news of intrauterine fetal death during a routine ultrasound examination. She is distraught and seeks support and guidance on the next steps. In her culture, intrauterine fetal death is a curse and it is a sign that a woman will never have any other baby.",Intrauterine fetal death,"How has the patient been supported and guided following the diagnosis of intrauterine fetal death, and what steps have been taken to manage the situation?",Intrauterine fetal death is a curse and a sign that the woman will never have any other children.,"Intrauterine fetal death can be caused by pregnancy complications, a woman is fully capable of carrying another child as long as the pregnancy is well monitored and there is timely management of complications.","Do an obstetric uktrasound scan. Do tests like CBC, blood grouping and cross-matching and urinalysis. Counsel mother and partner on the condition and the possible causes. Draw a plan of management together with the couple or mother. Advise on family planning."
"A 30-year-old breastfeeding mother, who had mastitis a month ago, comes to the clinic complaining of a painful, swollen lump in her right breast. She was told that a breast abscess is caused when a woman knocks her breast against a hard surface. The lump has not responded to home remedies and she has developed a fever.",Breast abscess,"How was the patient's breast abscess diagnosed and managed, considering her previous history of mastitis?",Breast abscess is caused by a woman knocking her breast against a hard surface.,A breast ascess usually follows mastitis. It is a bacterial infection. It is not connected to knocking one's breast against a hard surface. Though of course knocking a breast against a hard surface can be disastrous espescially if the impact is so strong.,"Use a warm compress. Continue breastfeeding. Maintain good hygiene. Get a bra to support the breast, avoid the uncomfortable one. Follow the treatment plan by takng antibiotics according to the dosage."
A 25-year-old pregnant woman has been diagnosed with HIV/AIDS during her first antenatal visit.  She is worried that her childwill be malnourished and dull. She is concerned about the health of her unborn child and the impact of her condition on her pregnancy.,HIV/AIDS in pregnancy,"What steps have been taken to manage the patient's HIV/AIDS during her pregnancy, and how has the health of the unborn child been considered?",Babies always be malnourished and dull.,"With HIV/AIDS in play, a child grows normally as long as the woman adheres to her medication and ensures maximum care during pregnancy.",Do a viral load count. Get advise on the best way to take medication. Attend ANC regularly. Eat a balanced diet. Take plenty of fluids. Get enough rest. Do timely treatment of infections. Plan to deliver from a recognized facility and inform your health provider about your status to ensure maximum care.
"A pregnant woman living in a region affected by an outbreak of Ebola virus disease has been diagnosed with the virus after experiencing fever, bleeding, and weakness. She is worried about the implications for her pregnancy and the health of her baby. She was told that ebola is a deadly disease and one never heals from it.","Viral hemorrhagic fever (Ebola, Marburg, Lassa, Yellow Fever, etc.)","How was the patient's viral hemorrhagic fever diagnosed and managed during her pregnancy, considering the ongoing outbreak in her region?",Ebola is a death sentence.,"Ebola is a deadly disease indeed but if managed urgently, one has some chances to survive.",Avoid gatherings and fluids of an infected person. Report to the health facility urgently. Take treatment as prescribed. Monitor fetal welbeing.
A 32-year-old pregnant woman who tested positive for COVID-19 is in labor. She fears that her baby will get COVD-19 while in the womb. She is anxious about the risk of transmission to her baby and the necessary precautions during delivery.,Intrapartum care for COVID-19 in pregnancy,"What measures have been taken to provide intrapartum care for the patient with COVID-19, and how has the risk of transmission to the newborn been addressed?",The unborn child gets COVID-19 in-utero.,The unborn child doesnot suffer from COVID-19 but his or her health can be affected by the mother being sick espescially when she is short of breath.,Isolate from people untill well. Eat a balanced diet. Wash hands regularly. Sanitize surfaces regularly. Take plenty of fluids. Eat more fruits. Take immunity boosters like vitamin supplements.
A 28-year-old woman who recently gave birth has been diagnosed with COVID-19. She is concerned about the impact of the virus on her postpartum recovery and her ability to care for her newborn. She claims that natural immunity is better than vaccine immunity and so she doesnot want to take the vaccine.,Postpartum care in COVID-19 mothers,"What postpartum care has been provided to the patient with COVID-19, and how has the care of her newborn been managed?",Natural immuity is better than the vaccine immunity.,The vaccine provides immuinity with out the damaging effects of the disease. COVID-19 can causes various complications if not managed urgently.,Isolate from people untill well. Express milk for the baby to feed. Wash hands regularly. Sanitize surfaces regularly. Take plenty of fluids. Eat more fruits. Take immunity boosters like vitamin supplements.
"A newborn is delivered in a rural health facility. The healthcare staff quickly assess the baby's condition and provide the necessary immediate care. In the mother's culture, the mother must make a fist when breastfeeding to ensure that the baby gets satisfied. The mother is anxious about her baby's health and well-being.",Care of the newborn; Immediate care in the first 60 minutes,"What immediate care was provided to the newborn in the first 60 minutes, and how was the mother reassured about her baby's well-being?",Make a fist while breastfeeding so that the baby gets satisfied.,"There is no scientific proof of this, a baby gets satisfied as long as he or she is well positioned. Many women breastfeed their babies without making fists and their babies feed just fine.",Note the time of delivery. Dry the baby and keep the bay dry. Cut the cord and ensure that it is not bleeding. Maintain skin-to-skin with the mother. Initiate breastfeeding within the hour. Check for any obvious abnormalities. Weigh the baby and take the length as well. Administer the routine medication like tetracycline and vitamin K. Monitor the vital signs.
"A 3-day-old newborn is brought to the clinic with signs of difficulty breathing and poor feeding. The parents were told that if hold the baby upside down for some minutes, the breathing improves. The parents are worried about their baby's health and seek prompt medical attention.",Care provided for a newborn identified with danger signs,"What care has been provided to the newborn identified with danger signs, and how were the parents involved in the care process?",Holding a abby upside down improved his or her breathing.,Holding a baby upside down is risky because it can lead to peripheral cyanosis and there is no scientific proof that this clears the difficulty in breathing.,Check if baby has passed stool and urine. Check for nasal atresia. Check for anal partency. Check for presence of the different reflexes like rooting and suckling. Check for bilateral chest movements. Monitor the fetal vital signs. Observe the nature of the baby's cry. Do an xray on the baby. Check for nasal blockage. Follow the treatment plan.
"A 5-day-old newborn with jaundice requires referral to a higher-level facility for specialized care. In the mother's culture, a baby is not supposed to be taken out until after 4 days post delivery. The parents are concerned about the referral process and the well-being of their baby during the transfer.",Referral of a sick newborn,"What steps have been taken to refer the sick newborn to a higher-level facility, and how were the parents involved and reassured during the referral process?",A baby remains inside till after 4 days post delivery.,Jaundice can be prevented by exposing a child to the early morning sunshine and taking the baby out doesnot affect the health of the baby as long as the environmant is clean.,Expose the child to the early morning sunshine to promote exretion of bilirubin. Breastfeed the child regularly. Note down the child's records on the referral note. Transport the baby while warm to the health facility of referral.
A local community in a remote area is participating in a reproductive health program to improve maternal and newborn health outcomes. Some members in the community claim that marternal and newborn health concerns the women only. Community leaders and members actively engage in the program's activities.,Community participation in reproductive health programs,"What role has the community played in the reproductive health program, and how has their participation contributed to the improvement of maternal and newborn health outcomes?",Maternal and newborn health only concerns women.,Male involvement is crutial for the success of maternal and newborn health programs. ,Sensitive the males about the importance of their involvement in maternal and newborn health programs. Encourage male headed group activities. Encourage the involvement of the local leaders. Engange the commuity in order to secure their participation. Encourage problem and solution approach.
A 24-year-old pregnant woman with severe preeclampsia requires referral to a tertiary hospital for further management. The nurse argues that she should give magnesium sulphate to control the blood pressure. The healthcare staff at the clinic coordinate the referral process and ensure a smooth transfer.,Referral,"What steps have been taken to refer the patient with severe preeclampsia to a higher-level facility, and how was the referral process coordinated?",Magnesium sulphate should be given to control blood pressure.,Magnesium sulphate is an anticonvulsant but not an antihypertensive.,Magnesium sulphate should be administered to prevent convulsions. Antihypertensives should be administered like nifedipine and methyldopa. Escort patient with a detailed record in her file. Resusitate mother with fluids like normal saline or ringer's lactate. Transfer mother to the referral hospital as soon as possible. 
"A healthcare facility in a rural area is experiencing a shortage of essential health supplies, impacting the quality of care provided to patients. The staff work together to find solutions and ensure the best possible care. The patients say that they should always be given priority when it comes to health care.",Health supplies,"What measures have been taken to address the shortage of health supplies at the facility, and how has the staff worked together to ensure the continued provision of quality care?",Patients should always be given priority when it comes to health care.,Patients are at the center of health care but the healthcare providers must ensure their health first before caring for patients.,Encourage care for the carer. Improve on hospital management. Continuously take stalk of the hospital supplies. Apply for the required supplies systematically.
