Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"A 28-year-old woman, 1 week postpartum, presents with a fever, cough, and loss of taste and smell. She has tested positive for COVID-19. People in her village claim that COVID-19 is a normal flu that can heal on its own. The midwife is considering the appropriate postpartum care for the patient and her newborn.",Postpartum care in COVID-19 mothers,"How should the patient's postpartum care be managed, and what are the guidelines for the care of the mother and newborn during the postpartum period?",COVID-19 is normal flu and it can heal without a fuss.,COVID-19 has flu-like symptoms but it is a deadly disease that can lead to death of the infected person.,"Isolate from others to avoid spreading the disease. Wash hands regularly. Sanitize surfaces often. Take plenty of fluids. Eat more fruits. Take some immune boosters like vitamin supplements. Follow the treatment plan,"
"A 29-year-old woman, 30 minutes postpartum, presents with heavy vaginal bleeding and signs of shock. She fears that she is going to die. The midwife suspects postpartum hemorrhage and is considering immediate interventions to control the bleeding.",Postpartum hemorrhage,"Based on her symptoms and postpartum status, how should the patient's suspected postpartum hemorrhage be managed, and what immediate interventions are recommended to control the bleeding?",Postpartum haemorrhage leads to death.,PPH is an obstetric emergency. It should be maneged urgently. A woman can survive after getting postpartum haemorrhage if treated very first and if prophylaxis was done prior to delivery. ,Check if uterus is well contracted and there are no retained protucts. Check if bladder is empty. Check if there are any tears and if they are repaired. Administer medication to control bleeding like tranexamic acid. Adminster fluids and transfuse blood if deemed necessary.
"A 33-year-old woman, 2 weeks postpartum, presents with severe abdominal pain, fever, and foul-smelling vaginal discharge. The midwife suspects puerperal sepsis and is considering antibiotic therapy and further investigations. She was told that sepsis is not serious, it can heal without medication.",Puerperal sepsis,"Given her symptoms and postpartum status, how should the patient's suspected puerperal sepsis be managed, and what are the guidelines for antibiotic therapy and further investigations?","Sepsis is not serious, it can heal without medication.",Sepsis is an extreme reaction of the body to infection. It needs to be treated urgently before it goes out of hand.,Maintain good hygiene. Eat a balanced diet. Take plenty of fluids. Follow the treatment plan.
"A 34-year-old woman, 3 days postpartum, presents with painful, swollen, and reddened breasts. She has a fever and appears unwell. She fears that if she breastfeeds her baby, she will get sick as well. The midwife suspects mastitis and is considering antibiotic therapy and supportive care.",Mastitis,"Based on her symptoms and postpartum status, how should the patient's suspected mastitis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Breastfeeding from an affected breast makes the baby sick as well.,Mastitis affects the breast tisuues but it does not affect the milk so it is improtant that the mother continues to breast feed and prevent engorgement.,Massage the breast before breast feeding. Practise a good breastfeeding technique. Take painkillers to relieve the pain. Take antibiotics as prescribed.
"A 26-year-old woman, 10 weeks pregnant, presents with painful, recurrent genital ulcers. She has a history of genital herpes. She read online that condoms are a sure way to protect against genital ulcers. The midwife is considering antiviral therapy and the management of potential complications.",Genital ulcers,"How should the patient's condition be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Condoms are a sure way to protect against genital ulcers.,Condoms reduce the risk of getting infected but they are not 100% sure.,Maintain a good hygiene. Do tests like CBC and other specific ones. Practice safe sex. Follow treatment plan. Get partner tested and treated concurrently.
"A 31-year-old woman, 8 weeks pregnant, presents with a painful lump in her breast, redness, and a fever. She fears that it is cancer. She has been diagnosed with a breast abscess and is receiving treatment.",Breast abscess,"Given her diagnosis, how should the patient's breast abscess be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Breast abscess is cancer.,"In a lactating mother, a breast abscess is not necessarily cancerous, it is benign and when treated can heal completely.",Use a warm compress. Get a support bra to hold the breast in one place. Continue breast feeding. Follow the treatment plan.
"A 28-year-old woman, 5 days post-abortion, presents with abdominal pain, fever, and vaginal bleeding. She fears that since she has had an abortion, then all her childrem will be dying. She has been diagnosed with sepsis following abortion and is receiving antibiotic therapy.",Management of sepsis following abortion,"How should the patient's sepsis following abortion be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?","After an abortion, all subsequent children die.","After an abortion, the woman is supposed to rest for a bit, get on family planning untill she is ready to have another child. Children have a good chance of surviving even when the mother had an abortion.",Join a social support group for emotional support. Get on family planning until ready to conceive another child. Take antibiotics as prescribed. Get enough rest and take plenty of fluids.
"A 30-year-old woman, 16 weeks pregnant, presents with severe abdominal pain and vaginal bleeding. She says that her co-wife is bewitching her and she is the one who is killing her children. She has been diagnosed with an incomplete abortion and is receiving treatment.",Incomplete abortion,"Given her diagnosis, how should the patient's incomplete abortion be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Witchcraft is causing the abortion.,"Abortion occurs due to a number of reasons like incompetent cervix, infections and sometimes the cause is not known.","Do ultrasound scan. Do tests like CBC, Urinalysis, blood grouping and cross matching. Take fluids. Get some rest. Go to the hospital for management. Take medication as prescribed."
"A 40-year-old woman, 37 weeks pregnant with her third child, presents with severe abdominal pain and vaginal bleeding. She has a history of two previous scars. The woman believes that she is cursed for something she could have done and that is why she is always getting problems. The midwife suspects uterine rupture and is considering emergency interventions.",Ruptured uterus,"How should the patient's suspected uterine rupture be managed, and what emergency interventions are recommended according to the guidelines?",Curses cause problems during pregnancy.,Complications can occur to any one whether cursed or not. Uterine rupture can be caused by a number of reasons like trauma or over stimulation of the uterus.,Admit mother immediately. Do an ultra sound scan. Check If fetus is still alive. Do a blood grouping and crossmatching test. Transfuse if necessary and administer fluids and oxygen. Transfer to theater immediately.
"A 31-year-old woman, 22 weeks pregnant, presents with pain and swelling in her right leg. She lives in western Uganda and she fears that her leg is going to be cut off. The midwife suspects deep vein thrombosis (DVT) and is considering diagnostic tests and anticoagulation therapy.",Goal-oriented ANC,"Based on her symptoms, how should the patient's suspected DVT be evaluated and managed, and what are the guidelines for anticoagulation therapy in pregnancy?",DVT always leads to amputation.,The risk factors with DVT are usually pulmonary embolism but not amputation. It can be managed and the clots can resolve to no trace at all. ,"Stick to the treatment plan, low molecular weight heparin can be used as an anticoagulant. Do some light exercises daily to improve blood circulation. Raise legs when sleeping or sitted to promote venous circulation."
"A 26-year-old woman, 6 weeks postpartum, presents with heavy vaginal bleeding and abdominal pain. She reports feeling faint and appears pale. She had been told by her neighbours in the village that bleeding is normal since she gave birth. The midwife suspects secondary postpartum hemorrhage and is considering immediate interventions.",Secondary postpartum hemorrhage,"How should the patient's suspected secondary postpartum hemorrhage be managed, and what immediate steps should be taken according to the guidelines?",Bleeding is normal after giving birth.,"Bleeding can occur after giving birth but it stops within 6-8 weeks but it can never be heavy. When it is heavy, then it is danger sign and it is not normal.","Report to the hospital immediately. Do tests like CBC, blood grouping and cross-matching. Take medication as prescribed. "
"A 35-year-old woman, 32 weeks pregnant, presents with severe headaches, blurred vision, and upper abdominal pain. Her blood pressure is significantly elevated. She read online that preeclampsia only occurs in the first pregnancy, she is wondering why it is happening again. The midwife suspects preeclampsia with severe features and is considering hospitalization and antihypertensive medications.",Management of hypertensive disorders in pregnancy,"Based on her symptoms and elevated blood pressure, how should the patient's suspected preeclampsia with severe features be managed, and what are the guidelines for hospitalization and antihypertensive medications?",Preeclampsia only happens in the first pregnancy.,"Preeclampsia happens more often in the first pregnancy but it can also occur in any other pregnancy. And if a mother got it during a pregnancy, then chances are high that it will reoccur in other pregnancies.",Get admitted to the hospital immediately. Follow the treatment plan strictly.
"A 30-year-old woman, 20 weeks pregnant, presents with recurrent urinary tract infections (UTIs) during her pregnancy. She claims modern medication is dangerous to her unborn baby, it causes abnormalities. The midwife is considering antibiotic therapy and further investigations to identify any underlying issues.",Urinary tract infections in pregnancy,"Given her recurrent UTIs, how should the patient's condition be managed, and what are the guidelines for antibiotic therapy and further investigations?",Modern medication causes abnormalities to the unborn child.,"During pregnancy, a woman is prone to getting UTIs. There are drugs that cannot be used during pregnancy and are not prescribed. The ones used are safe and do not cause any harm to the child.",Get treatment from a recognized and credible facility. Take plenty of fluids. Empty bladder frequently. Maintain good hygiene and eat a balanced diet.
"A 27-year-old woman, 37 weeks pregnant, presents with a pruritic rash and fever. She was told that chicken pox is a disease that only children suffer from. The midwife suspects varicella (chickenpox) infection and is considering antiviral therapy and the management of potential complications.",Goal-oriented ANC,"Based on her symptoms, how should the patient's suspected varicella infection be managed, and what are the guidelines for antiviral therapy and the management of potential complications in pregnancy?",Children are the only ones that suffer from chicken pox.,"People of all ages can get chicken pox and during pregnancy, the chance is having serious infection from chicken pox is high. It should therefore be managed urgently.",Report to a doctor immediately. Wash hands thoughly and regularly. Self isolate to prevent spreading the infection. Follow the treatment plan.
"A 28-year-old woman, 16 weeks pregnant, presents with severe nausea and vomiting, leading to weight loss and dehydration. She has been diagnosed with hyperemesis gravidarum and is receiving treatment. She was told by her villagemates that vomiting during pregnancy is normal and nothing to worry about and she maybe having another infection that is causing her to loose weight.",Hyperemesis gravidarum,"Given her diagnosis, how should the patient's hyperemesis gravidarum be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Morning sickeness is normal and nothing to worry about.,"Hyperemesis gravidarum is not normal, it is a more severe form of morning sickness an dit should be treated with urgency.",Take antiemetics as prescribed. Take plenty of fluids. Eat dry foods. Brush one hour after evry meal. Get up slowly from the bed. Avoid triggers of nausea. Get enough rest.
"A 29-year-old woman, 34 weeks pregnant, presents with painless, bright red vaginal bleeding. She thinks that her baby is dead and that is why she is bleeding. The midwife suspects placenta previa and is considering ultrasound imaging and the management of potential complications.",Antepartum hemorrhage,"Given her symptoms, how should the patient's suspected placenta previa be evaluated and managed, and what are the guidelines for ultrasound imaging and the management of potential complications?",Dead baby causes bleeding.,Bleeding is not a good sign during pregnancy but it does not necessarily mean that the baby is dead. The baby can be a live and stay alive if the bleeding is managed timely.,Report to the health facility immediately. Do an ultrasound scar. Get enough rest. Take plenty of fluids.
"A 33-year-old woman, 38 weeks pregnant, presents with sudden, severe abdominal pain and contractions. In the culture of people who live in WestNile, believe that a woman who bleeds during pregnancy is carrying a cursed child. The midwife suspects abruptio placentae and is considering emergency delivery and the management of potential complications.",Antepartum hemorrhage,"Based on her symptoms, how should the patient's suspected abruptio placentae be managed, and what are the guidelines for emergency delivery and the management of potential complications?",A lady with a cursed child bleeds during pregnancy.,"Antepartum haemorrhage can happen to any lady either due to trauma or other causes like placenta previa, abruptio placentae and vasa previa.",Do an ultrasound scan. Get plenty of bedrest. Do tests like blood grouping and crossmatching. Take plenty of fluids. Follow the treatment plan.
"A 31-year-old woman, 26 weeks pregnant, presents with vaginal bleeding and abdominal pain. She was told that bleeding occurs because the baby is trying to loose weight. She has been diagnosed with placental abruption and is receiving treatment.",Antepartum hemorrhage,"Given her diagnosis, how should the patient's placental abruption be managed, and what steps have been taken to address her symptoms and ensure her well-being according to the guidelines?",Antepartum haemorrhage occurs because the baby is trying to loose weight.,A baby can only loose weight when the mother is not feeding well. And the bleeding that occurs is not from the baby in-utero.,Do an ultrasound scan. Get plenty of bedrest. Do tests like blood grouping and crossmatching. Take plenty of fluids. Follow the treatment plan.
"A 35-year-old woman, previously diagnosed with gestational diabetes in her last pregnancy, is now 16 weeks pregnant. She complains of frequent urination and thirst. Her midwife suspects a recurrence of gestational diabetes and is considering early screening. She was told that women with diabetes, can be risky to the baby a well.",Gestational diabetes,"How should the patient's current symptoms be evaluated, and what steps should be taken for early screening and management?",Women with diabetes are risky the the baby.,"If a woman with diabetes has good control of sugars, the pregnancy survives just perfectly. The goal with gestational diabetes is to achieve a good blood sugar. Poor sugar control can harm the mother and the baby.",Eat a balanced diet. Eat regularly but limit starch intake. Exercise daily. Follow the treatment plan.
"A 28-year-old woman, 20 weeks pregnant, presents with paleness and fatigue. Previous lab results show a declining trend in her hemoglobin levels. She read online that vegetarians are at a high risk of beoming anaemic. The midwife suspects anemia and contemplates further diagnostic tests and interventions.",Anaemia in pregnancy,"Based on her declining hemoglobin trends, how should the patient's suspected anemia be further evaluated, and what interventions are recommended according to the guidelines?",Vegetarians have a higher risk of anaemia.,"Meat and dairy products are rich in iron but dark leafy vegetables are an excellent source as well. Besides that, nutrient deficiency is not the only cause of anaemia.",Increase nutritional supply of iron. Take iron suplements offered during ANC. Do tests like blood grouping and crossmatching and CBC. Take plenty of fluids. Follow the treatment plan.
"A 30-year-old pregnant woman at 24 weeks gestation with a twin pregnancy reports feeling faint with visual disturbances. Her blood pressure reading is elevated. In her village, there is a theory that if one exercises and eats healthy, she cannot get pressure. The midwife suspects a hypertensive disorder and is considering immediate interventions.",Management of hypertensive disorders in pregnancy,"Given her symptoms and twin pregnancy, how should the patient's hypertensive disorder be managed, and what immediate interventions are recommended?",Exercises and a healthy diet are absolute protection from pressure.,"When one does exercises and eats healthy, her risk ofgetting preeclampsia reduce but she can still get it because of the other causative factors of the complication.","Do tests like CBC, Urinalysis, RFTs, LFTs and other tests. Do an ultra sound scan. Take antihypertensives as prescribed."
"A 33-year-old woman, now 12 weeks pregnant, has a history of recurrent miscarriages in the second trimester. She presents with slight spotting. She was told that manufactured medicine is for whites, blacks have their own from nature. The midwife is concerned about the risk of another miscarriage and considers advanced screening and management options.",Goal-oriented ANC,What advanced screenings and interventions should be considered to manage the patient's current pregnancy effectively?,"Modern medication is for whites, blacks have their own from nature.","Modern medication is manufactured from natural resources. It is refined and tested, it is therefore safe for use for everyone.","Do an ultrasound scan. Get tested against various infections and get treatment. Take a compatibility test with partner. Avoid lifestyle habits like smoking, drug abuse, caffeine and alcohol intake. Do regulary exercises to avoid obesity. Seek for preconception care."
"A 29-year-old pregnant woman at 32 weeks gestation presents with sudden, severe abdominal pain and vaginal bleeding. She believes that if there are no complications in the first pregnancy, then the rest willl also be okay. The midwife suspects antepartum hemorrhage due to a possible placental abruption and is preparing for urgent interventions.",Antepartum hemorrhage,"Based on her symptoms, how should a possible placental abruption and antepartum hemorrhage be managed, and what immediate steps should be taken?",All pregnancies for a prticular woman are the same.,"Every pregnancy is unique and different from the rest. If a woman had some complications in a first pregnancy, she stands a risk of expriencing them again but she did not, they can come in subsequent pregnancies.","Get plenty of rest. Take plenty of fluids. Do an ultrasound scan. Do tests like CBC, blood grouping and crossmatching. Foloow the treatment plan."
"A 27-year-old woman, 6 days postpartum, presents with engorged breasts, fever, and a painful red area on one breast. The midwife suspects mastitis and is considering antibiotic therapy and supportive care. The mother says that she is going to stop breastfeeding after all, breast milk is watery and does not satisy the baby.",Mastitis,"Given her postpartum status and symptoms, how should the patient's suspected mastitis be managed, and what are the guidelines for antibiotic therapy and supportive care?",Breast milk is watery and doesnot satisfy the baby.,"Breast milk has all the nutrients that a baby needs and in their right quantities. And with mastitis, it is important to continue breastfeeding.","Harvest the milk by expressing it manually into baby feeding bottles. Use a warm compress and breast feed the child more often. In case of absence of a child, report to the health facility for treatment. Take antibiotics as prescribed."
"A 31-year-old pregnant woman at 28 weeks gestation, with a known history of HIV/AIDS, is on antiretroviral therapy. She's concerned about the risk of transmission to her unborn baby and postnatal care. In her village, HIV is a death sentence and she is worried that her baby might die.",HIV/AIDS in pregnancy,"Given her HIV/AIDS status and ongoing antiretroviral therapy, what steps should be taken to prevent mother-to-child transmission, and what postnatal care is recommended?",HIV/AIDS is a death sentence.,"In the old days before antretroviral therapy wasintroduced, HIV was deadly but with the medication, a mother can lead a normal life and the baby can survive without getting the virus.",Continue with the medication. Continue attending ANC. Treat any infection immediately. Plan to delivery from a good hospital.
"A 36-year-old woman, 14 weeks pregnant, presents with severe vomiting that's been ongoing for more than three weeks. She's lost weight and appears dehydrated. She was told that this is caused by the fact that the baby is growing hair. The midwife is concerned about hyperemesis gravidarum and is considering hospitalization.",Hyperemesis gravidarum,"Based on her symptoms, how should the patient's suspected hyperemesis gravidarum be managed, and when is hospitalization recommended according to the guidelines?",Hyperemesis graviduram is caused by the fact that a baby is growing hair.,"Hyperemesis graviduram has nothing to do with the baby's hair, it is caused by a rapid increase in hormones that comes with pregnancy.",Get up slowly from the bed. Brush teeth one hour after a meal. Avoid nausea triggers. Eat dry foods. Avoid foods that are too spicy and fatty. Use ginger. Get an antiemetic if it does not subside. Take plenty of fluids.
"A 34-year-old woman, 38 weeks pregnant, reports decreased fetal movements over the past 24 hours. She thinks this is happening because she refused to go to the traditional birth attendant and to take herbs.  The midwife conducts a non-stress test, which shows concerning results. The midwife suspects fetal distress and contemplates immediate delivery.",Fetal distress,"Given the decreased fetal movements and non-stress test results, how should the patient's suspected fetal distress be managed, and what are the guidelines for considering immediate delivery?",Refusing to go to the traditional birth attendant and to take herbs causes fetal distress.,Herbs are risky during pregnancy and labour. They can cause precipitate labour and other complications. Amny women loose their lives at the hands of traditional birth attendants espescially if the pregnancy is complicated. Fetal distress has nothing to do with the speculated reasons.,"Do an ultrasound scan. Rescusitate the fetus in-utero by administering IV fluids and oxygen. Continue monitoring the fetal movement. Plan for delivery immediately. If contractions aree not strong enough, then augment the labour."
"A 32-year-old woman, 40 weeks pregnant, presents with contractions, but cervical dilation is slow. After 12 hours, only 3 cm dilation has occurred. In her culture, prolonged labour is caused by failure to chew leaves of a (mutuba) local name tree. The midwife suspects prolonged labor and is considering interventions to assist with progression.",Prolonged labor,"Given her slow cervical dilation, how should the patient's suspected prolonged labor be managed, and what interventions are recommended to assist with labor progression?",Chewing 3 leaves of a mutuba tree quickens labour.,"Prolonged labour can be caused by a number of reasons like a mother's poor pysque, cephalopelvic disproportion and other reasons.",Resuscitate the mother with fluids. Augment labour using oxytocin. Monitor fetal wellbeing. Do an ultrsound scan.Give antibiotics as propylaxis. Do pelvictomery to assess the adequacy of the pelvis. 
"A 28-year-old woman in labor is informed that her baby is in a brow presentation, with the baby's brow positioned to be delivered first. In the woman's village, cesearean section delivery is considered as a reproductive failure. She is seeking guidance on the management of her delivery and the options available to her.",Brow presentation,"How has the patient's brow presentation been diagnosed and managed, and what options have been discussed for the delivery of her baby?",Cesearean section is a reproductive failure.,"Natural delivery is through the birth canal but if this fails, in order to save the baby and the mother, CS is considered as an option but it doesnot mean that it is a failure.",Do an ultrasound scan. Keep mother calm and open minded. Prepare for newborn resuscitation. Deliver the baby in the best way possible.
"A 30-year-old woman in labor is informed that her baby is in a transverse lie, with the baby's shoulder or arm positioned to be delivered first. She is seeking guidance on the management of her delivery and the options available to her. She doesnot want a cesearean section because with it she will not feel like a full woman.",Transverse lie,"How has the patient's transverse lie been diagnosed and managed, and what options have been discussed for the delivery of her baby?",Cesearean section means that one is not woman enough.,Complications with pregnancy can occur to every one but this doesnot make anyone any less of a woman. Womanhood is not measured on the ability to give birth normally.,Do an ultrasound scan. Keep mother calm and explain everything to her. Prepare for newborn resuscitation. Deliver the baby in the best way possible.
"A 27-year-old woman in labor is informed that her baby is in a shoulder presentation, with the baby's shoulder positioned to be delivered first. She is seeking guidance on the management of her delivery and the options available to her. She was told that if she doesnot push, her baby will not love her.",Shoulder presentation,"How has the patient's shoulder presentation been diagnosed and managed, and what options have been discussed for the delivery of her baby?","If a woman doesnot push her baby, then the baby will not love her.",The delivery means of the baby do not determine the bonding ability of a woman with her baby.,Explain the situation to the mother. Do an ultrasound scan if possible. Prepare for newborn rescusitation. Deliver the baby as needed.
A 29-year-old woman in labor is experiencing difficulty delivering her baby due to shoulder dystocia. The woman is a believer and she thinks that God cannot let her be cut open. The healthcare team is providing assistance to help with the delivery and ensure the safety of both the mother and the baby.,Shoulder dystocia (stuck shoulders),"How has the patient's shoulder dystocia been diagnosed and managed, and what steps have been taken to assist with the delivery and ensure the safety of both the mother and the baby?",God cannot let a believer be cut open for delivery.,"God works through various ways, normal delivery is not the only way that manifests His love for us, CS is not a curse.",Do an ultrasound scan. Explain to the mother the situation clearly. Prepare for newborn rescusitation. Deliver the baby as required.
"A 28-year-old woman in labor is informed that her baby is in a compound presentation, with a hand or arm positioned alongside the head. She is not worried because she was told that the baby is going to move out faster. She is seeking guidance on the management of her delivery and the options available to her.",Compound presentation,"How has the patient's compound presentation been diagnosed and managed, and what options have been discussed for the delivery of her baby?",Compound presentation makes the baby move out faster.,"Risk factors inlcude polyhydrominous, prematurity and multiple pregnancies. Combound presentation actually may delay the delivery process and it often leads to injury of the extremity.",Avoid manipulation of the extremity. Monitor fetal wellbeing. Practice expectant management if pelvis is adequate. Prepare for newborn presentation.
"A 30-year-old woman in labor is experiencing prolonged labor, with slow progress in cervical dilation and descent of the baby. She blames her co-wife for tying her pregnancy. The healthcare team is providing support and considering options for a safe delivery.",Prolonged labor,"How has the patient's prolonged labor been diagnosed and managed, and what steps have been taken to support her and ensure a safe delivery?",Prolonged labour occurs because the pregnancy is tied.,"Prolonged labour can be caused by cephalopelvic disproportion, malposition, malpresentation, weak contractions or cervical dystocia.",Monitor fetal wellbeing. Rescusitate mother with fluids. Do an ultrasound scan. Empty bladder regularly. Augment labour with intravenous oxytocin. 
"A 27-year-old woman in labor is experiencing a prolonged active phase, with slow progress in cervical dilation despite regular contractions. She was told that a woman is supposed to use cat fur in her private parts in order to quicken labour. The healthcare team is providing support and considering options for a safe delivery.",Prolonged active phase,"How has the patient's prolonged active phase been diagnosed and managed, and what steps have been taken to support her and ensure a safe delivery?",Cat fur quickens labour.,Cats are associated with didseases like toxoplasmosis which is dangerous for a pregnant woman. Use of cat fur is not scientifically proved and should be avoided.,"If the baby is well positioned, presentation is normal and heart rate is assuring and the pelvis is adequate, then augment labour using intravenous oxytocin."
"A 28-year-old woman in labor is informed that the umbilical cord has prolapsed, with the cord descending into the birth canal ahead of the baby. She blames herself for causing this because she raised her hands above her head when she was hanging clothese on the hangline.  The healthcare team is providing emergency care to ensure the safety of the baby.",Cord prolapse,"How has the patient's cord prolapse been diagnosed and managed, and what steps have been taken to ensure the safety of the baby and prevent complications?",Raising hands above the head causes cord prolapse.,"Cord prolapse can occur due to prematurity, malpresentation, contracted pelvis, multiple pregnancy, hydrominous and others. These causes are not connected to raising hands above the head.",Avoid handling the cord. Fill the bladder to reduce baby descent after ensuring that it is empty. Maintain a knee-chest position. Deivery the baby urgently by cesearean section if he or she is alive. Monitor fetal wellbeing.
"A 29-year-old woman in labor is informed that her baby is showing signs of fetal distress, with changes in the baby's heart rate. She was told that it is expected for the baby's heartrate to go down towards delivery and that the baby is delivered soon after. The healthcare team is providing support and considering options for a safe delivery.",Fetal distress,"How has the patient's fetal distress been diagnosed and managed, and what steps have been taken to ensure the well-being of the baby and a safe delivery?",Baby's heartrate becomes unstable towards delivery and the baby is born soon after.,"The baby's heart rate is expected to be within the normal range all throughout labour, when it is high or above, then it should be managed urgently.",Explain and keep the mother calm. Monitor the fetal heart rate. Rescusitate the baby in-utero by administering fluids IV and oxygen using nasal prongs. Deliver the baby as soon as possible.
"A 30-year-old woman who recently gave birth is receiving postpartum care. In her culture, a woman should feed on foods that had blood in order to replace the blood she lost. The healthcare team is monitoring her vital signs, assessing her recovery, and providing support for breastfeeding and newborn care.",Postpartum care,"What postpartum care has been provided to the patient, and how has her recovery and the care of the newborn been managed?",Eating foods that had blood replaces the one lost during delivery.,This is not bad if the food is well cooked but these foods need to be supplemented in order to have a healthy body.,Take a painkiller to relieve pain. Provide a clean and soft area for the woman to rest. Provide some food. Continuosly empty bladder. Ensure skin-to-skin with baby and provide support when breastfeeding. Provide antibiotics if necessary.
"A 30-year-old woman who has recently given birth is receiving care during the fourth stage of labor and the first 24 hours postpartum. The healthcare team is monitoring her vital signs, assessing her recovery, and providing support for breastfeeding. She wa told that a baby should first be given water before breastfeeding him or her for the first time.",Management of the fourth stage and first 24 hours,"How has the patient's care been managed during the fourth stage of labor and the first 24 hours postpartum, and what steps have been taken to ensure her recovery and support for breastfeeding?",Give water first before breastfeed him of her for the first time.,"Water given before breastfeeding is a false practice, this can lead to infection of the gut. Give the baby only breast milk until after 6 months.",Massage the uterus and remove any retained products. Clean the mother and transfer her to a clean area to rest. Monitor vital signs regularly. Check that the mother is not bleeding. Provide some food for the mother.
"A 28-year-old pregnant woman with a prolonged labor is receiving treatment to augment labor and help with the delivery of her baby. Her grandmother told her that when one eats very spicy foods, it irritates the stomach and labour starts. The healthcare team is following guidelines to ensure a safe induction process.",Induction and augmentation of labor,"How has the patient's augmentation of labor been managed, and what steps have been taken to ensure a safe and effective induction process?",Eating very spicy foods causes labour to start.,"This is not scientifically proved. Labour should be able to start and progress normally, if it fails, medication can be used to aid the progress.",Cannulate mother to establish IV access. Administer oxytocin via IV fluids but not more than 60IU. Monitor fetal wellbeing. Insert catheterfor continuous bladder drainage. Put mother in a comfortable position. Monitor progress of labor.
"A 27-year-old woman who is post term is receiving oxytocin to induce labor and assist with the delivery of her baby. She was told that when the baby is small, then labor hurries. The healthcare team is monitoring her contractions and the baby's heart rate to ensure a safe delivery.",Induction of labor using oxytocin,"How has the patient's induction of labor using oxytocin been managed, and what steps have been taken to monitor her contractions and the baby's heart rate?","When the baby is small, labor hurries.","The size of the baby is not the only determinant of a good labour progress. There are other factors that can delay labour progress like weak contractions, malposition and cervical dystocia.",Cannulate mother to establish IV access. Administer oxytocin via IV fluids but not more than 60IU. Monitor fetal wellbeing. Insert catheterfor continuous bladder drainage. Put mother in a comfortable position. Monitor progress of labor.
A 26-year-old pregnant woman is informed that her baby is in a breech presentation and is seeking guidance on the management of her delivery. The healthcare team is considering options for a safe breech delivery. She read online that breech can only be delivered by cesearean section.,Breech delivery,"How has the patient's breech presentation been managed, and what options have been considered for a safe breech delivery?",Breech can only be delivered by cesaerean section.,"If there is no contraindication to vaginal delivery, then breech can be delivered vaginally.",Do an ultrasound scan. Perform pelvictometry to ensure that the pelvis is adequate. Monitor fetal wellbeing. Prepare for newborn rescusitation. Perform episiotomy and carry out procedures to delivery the baby.
"A 29-year-old woman in labor is informed that her baby is in a face presentation, with the baby's face positioned to be delivered first. She is seeking guidance on the management of her delivery and the options available to her. She was told that the baby can only come out vaginally when the backof the head comes out first.",Face presentation,"How has the patient's face presentation been diagnosed and managed, and what options have been discussed for the delivery of her baby?",A baby can only come out vaginally when the back of the head is coming out first.,"As long as there is no contraindication to vaginal delivery, a baby can out vaginally, though it is easiest when then baby is well positioned.",Do an ultrasound scan. Do pelvictometry to assess the adequacy of the pelvis. Monitor fetal wellbeing. Prepare for newborn rescusitation.
A 31-year-old pregnant woman experiences a sudden gush of fluid from her vagina before her due date. She is diagnosed with pre-labor rupture of membranes and is receiving treatment to manage the risk of infection and ensure the well-being of her baby. she was told that this happens because there is too much fluid in the womb and so the excess is moving out.,Pre-labor rupture of membranes (PROM),"How has the patient's pre-labor rupture of membranes been diagnosed and managed, and what steps have been taken to prevent infection and ensure the well-being of her baby?",Pre-labor rupture of membranes is caused by polyhydrominous.,"Pre-labor rupture of membranes is caused by infections, previous preterm birth, cigarette smoking during pregnancy and others.","Do an ultrasound scan. Get plenty of bedrest. Do tests like CBC, urinalysis and others. Treat any infection. Monitor fetal wellbeing. Rescucitate with fluids. Take antibiotics as prescribed. Assess for risk of delivery of the baby of the leaking doesnot stop."
"A 28-year-old pregnant woman is informed that she is carrying twins. She says that only a mature midwife can deliver her babies, the young ones are not experienced enough. She is seeking guidance on the management of her pregnancy and the delivery of her babies.",Multiple pregnancies,"How has the patient's multiple pregnancy been diagnosed and managed, and what steps have been taken to ensure the well-being of both the mother and the babies?",Young midwives cannot deliver twins.,"Age doesnot determine knowledge in delivery of the baby. Delivery of a twin pregnancy does not differ from  delivery of a singleton, the only difference is the number of children.",Do an ultrasound scan. Assess for adequacy of the pelvis. Monitor fetal wellbeing. Give timely episiotomy if maybe required. Prepare to receive the babies. Have standby assisstants. 
A 26-year-old woman in labor is experiencing contractions and cervical dilation. She is receiving care and support during the first stage of labor to ensure a safe delivery. She was told that garlic quickens the labour process.,Management of the first stage of labor,"How has the patient's first stage of labor been managed, and what steps have been taken to ensure her comfort and safety during contractions and cervical dilation?",Garlic quickens labour.,This is not scirntifically proved and use of herbs during labor can cause prescipitate labor.,Monitor labor on a partogram. Prepare everything to be needed for delivery. Do ultrasound scan to guide delivery. Take sweetened tea. Eat soft foods continuosly empty bladder. Ambulate to aid in descent.
