Scenario,Keywords,Question,Guidelines Targeted,Health screening Questions (2-5),Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
harper 28 year old pregnant woman victim human trafficking first trimester diagnose malaria harper take water stream think reason malaria experience symptom fatigue headache fever harper seek advice manage condition ensure healthy pregnancy,"Malaria, First trimester, Human trafficking, Fatigue, Headaches, Fever",How would you manage Harper's malaria considering her status as a human trafficking victim and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you have to protect yourself from human trafficers? Do you have knowledge on how to fight malaria?,Water from streams causes malaria.,"Malaria is not a water borne disease, it is caused by a bite from an infected mosquito.","Attend ANC, sleep under a treated mosquito not, take medication as prescribed."
zoe 32 year old pregnant woman history obsessive compulsive disorder second trimester diagnose malaria think baby angry become sick experience symptom chill fever joint pain zoe concerned potential impact malaria pregnancy,"Malaria, Second trimester, Obsessive-compulsive disorder, Chills, Fever, Joint pain",How would you manage Zoe's malaria considering her history of obsessive-compulsive disorder and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Does she know how to recognise the signs of a breakdown? Are you attending ANC? Which measures are you employing to  fight malaria?,An angry unborn baby is making her sick.,An unborn baby can only make a mother sick when he or she got infected from the womb. There is no proof of a ababy having moods while in the womb.,"Adhere to treatment, sleep under a mosquito net. Give her self ample rest and avoid stressful activities."
aubrey 31 year old pregnant woman survivor sexual assault third trimester diagnose malaria area people believe mosquito bite night sleep mosquito net good enough protection experience symptom fatigue fever muscle pain aubrey worried potential impact malaria pregnancy,"Malaria, Third trimester, Sexual assault survivor, Fatigue, Fever, Muscle pain",How would you manage Aubrey's malaria considering her history of sexual assault and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Are you part of a social support group? Do you have a birth readiness plan? Do you attend ANC?,Mosquitoes only bite in the night.,Mosquitoes bite at any time fron any place.,Join a social support group to help heal from the trauma. Attend ANC regularly.
riley 29 year old pregnant woman history panic disorder first trimester diagnose malaria eat lot garlic believe help ward mosquito experience symptom chill headache rapid heartbeat riley concerned potential impact malaria pregnancy,"Malaria, First trimester, Panic disorder, Chills, Headaches, Rapid heartbeat",How would you manage Riley's malaria considering her history of panic disorder and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",How do you manage  panic attack? Do you attend ANC? Are you happy with the baby? How much do you know about malaria? ,Garlic wards off mosquitoes.,Garlic has a strong scent but it doesnot affect mosquitoes in any way.,Practice calming tecniques. Attend ANC regularly. Attend health education talks.
addison 26 year old pregnant woman survivor childhood abuse second trimester diagnose malaria addison know malaria cause play rain eat cold food experience symptom fever joint pain fatigue addison worried potential impact malaria pregnancy,"Malaria, Second trimester, Childhood abuse survivor, Fever, Joint pain, Fatigue",How would you manage Addison's malaria considering her history of childhood abuse and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Are you part of a social suport group?,Eating cold food and playing in the rain cause malaria.,Malaria is caused and spread through a bite from an infected mosquito. It is not caused by anything else.,Attend ANC and health education talks regulary. 
grace 30 year old pregnant woman history bipolar disorder third trimester diagnose malaria believe offer gift anscestor help get safe delivery experience symptom fatigue fever headache grace seek advice manage condition ensure healthy pregnancy,"Malaria, Third trimester, Bipolar disorder, Fatigue, Fever, Headaches",How would you manage Grace's malaria considering her history of bipolar disorder and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Are you part of a social support group? Do you have a mood monitoring dairy? Do you attend ANC?,Offering gifts to anscestors will grant her a safe delivery.,Fulfilling spiritual duties contributies to pschological healing but delivering safely depends on a number of factors.,Attend ANC regularly. Joing a social support group and get a mood diary.
scarlett 33 year old pregnant woman survivor force labor first trimester diagnose malaria experience symptom fever fatigue chill scarlett concerned potential impact malaria pregnancy think unborn child also suffer malaria come low birth weight,"Malaria, First trimester, Forced labor survivor, Fever, Fatigue, Chills",How would you manage Scarlett's malaria considering her history of forced labor and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have any other immun-compromising illness? Are you on medication for any chronic illness? Do you love your pregnancy?,The baby also suffers from malaria in-utero.,"The baby does nopt suffer from malaria, the disease, but malaria affects the placental attachment which in turn affects the unborn baby.","Connect with social support groups for help. Continue to takecare of herself and her pregnancy, attend ANC and take medication as prescribed."
aria 28 year old pregnant woman history post traumatic stress disorder second trimester diagnose malaria believe malaria cause eat much oil ground nut experience symptom chill fever joint pain aria worried potential impact malaria pregnancy,"Malaria, Second trimester, Post-traumatic stress disorder, Chills, Fever, Joint pain",How would you manage Aria's malaria considering her history of post-traumatic stress disorder and current symptoms? What recommendations would you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies","Do you sleep under a treated mosquito net? With the syptoms experienced, do you also feels like the color of your skin and eyes is different?",Too much oil causes malaria.,Too much oil is not good for the baby but it doesnot cause malaria.,"Attend ANC, sleep under a treated mosquito not, take medication as prescribed."
layla 28 year old pregnant woman third trimester live remote village limited access healthcare facility take aloe vera ekigaji remedy illness diagnose malaria experience severe symptom difficulty read write,"Malaria, Third trimester, Remote village, Illiteracy, Limited healthcare access",How would you manage Layla's malaria considering her illiteracy and limited access to healthcare facilities? What measures can be taken to improve her access to healthcare?,"Management of Malaria in Pregnancy, Antenatal Care, Referral, Health Supplies",Do you have knowledge on the available services that can enable you to have a better health? Do you think that attending ANC is necessary?,Aloe vera is a remedy to any illness.,"Alove vera contains vitamins like B12, A and minerals like calcium and chromium, thismis beneficial in boosting the immunity but is not directly qualify as a remedy to all illnesses.",Seek health services information from the LC chairperson and the village health team regularly. Adopt suggested and proven ways of figting malaria. Seek for treatment against malaria and adhere to the treatment dosage.
ellie 31 year old pregnant woman second trimester factory worker low income ellie sit sun every early morning culture sun raise pregnancy baby protect complication womb diagnose malaria access internet digital resource health information,"Malaria, Second trimester, Low income, Factory worker, Digital disparity, siting under the early morning sun",How would you manage Ellie's malaria considering her digital disparity and low income? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to fight against malaria? Do you attend ANC? Do you have a birth delivery plan?, sunrise over a pregnancy protects the unborn child from harm.,"When the mother is well, the child is also well. Sunrise builds the stock of vitamin D.",Adopt measures to fight malaria. Attend ANC regularly and health education talks. Take antimalarials as prescribed.
leah 30 year old pregnant woman first trimester live refugee camp diagnose malaria lack access clean water sanitation facility claim stranger camp rub belly reason unwell,"Malaria, First trimester, Refugee camp, Lack of clean water and sanitation",How would you manage Leah's malaria considering her living conditions in a refugee camp? What measures can be taken to improve her access to clean water and sanitation facilities?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you eat a balanced diet? Which measures do you employ to fight against malaria?,Rubbing the belly of a pregnant woman causes illnesses toowards her.,This not scientifically proven and so should not be fronted first.,Attend ANC regularly. Attend health education talks. Adopt measures to fight against malaria. 
penelope 33 year old pregnant woman second trimester single mother low pay job doesnot eat egg cause slur delay speech baby diagnose malaria struggle afford necessary medication healthcare,"Malaria, Second trimester, Single mother, Low-paying job, Affordability issues",How would you manage Penelope's malaria considering her financial struggles? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Which measures do you employ to fight malaria?,Eggs cause slurred or delayed speech in babies.,Eggs are very rich in proteins crutial for a pregnant woman. Slurred or delayed speech has no direct linkage with egg eating as it can be caused by complications during birth or genetical defects.,Attend ANC regularly. Adopt various ways to fight malaria. Take antimalarials as prescribed.
samantha 35 year old pregnant woman third trimester live slum poor infrastructure limited access healthcare diagnose malaria political representation community samantha eat avocado banana cause baby grow big lead complication delivery,"Malaria, Third trimester, Slum, Poor infrastructure, Political disparity",How would you manage Samantha's malaria considering her political disparity and living conditions? What measures can be taken to improve her access to healthcare?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Avocado and bananas cause the baby to grow too big.,"Avocados are rich in good fat and bananas are rich in minerals, these are improtant for a healthy mother. A baby being too big usually results froma mother being too big as well.",Adopt measures to fight malaria. Attend ANC regularly. Take antimalarials as prescribed.
victoria 29 year old pregnant woman first trimester migrant worker access maternity leave employment benefit diagnose malaria experience severe symptom culture also belive meet stranger crossroad get one cursed belive disease curse,"Malaria, First trimester, Migrant worker, No maternity leave, Employment disparities",How would you manage Victoria's malaria considering her employment disparities and severe symptoms? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you have anyone who helps you with work at home? Do you attend ANC? Which measures do you employ to fight malaria?,"Meeting a stranger at crooroads gets one cursed, the disease is a curse.","Malaria is a disease caused by a mosquito bite from an infected female anophlese mosquito, it is not cursed upon someone. It is preventable and has a cure.",Get someone whom can help with work at home. Adopt ways to fight malaria. Attend ANC regularly.
aurora 27 year old pregnant woman second trimester live conflict zone limit access healthcare facility diagnose malaria experience symptom fever chill doesnot eat fish chicken beef cause baby overgrow lead get cesarean section,"Malaria, Second trimester, Conflict zone, Limited healthcare access",How would you manage Aurora's malaria considering her living conditions in a conflict zone? What measures can be taken to improve her access to healthcare?,"Management of Malaria in Pregnancy, Antenatal Care, Referral, Health Supplies",Do you keep in touch with village health team to gain knowledge on available health programs? Which measures do you employ to fight malaria? Do you attend ANC?,"Fish, chicken and beef cause the unborn child to overgrow.",These foods are rich in animal proteins crutial for the health of the mother and the unborn child. Its iportant that the mother ads them to her diet though in regulated quantities. ,Keep in touch with the village health and access health programs. Attend ANC regularly and take antimalarials as prescribed.
serenity 32 year old pregnant woman third trimester live rural area limited access transportation healthcare facility diagnose malaria struggle access antenatal care service believe though healer power,"Malaria, Third trimester, Rural area, Limited transportation, Limited healthcare access",How would you manage Serenity's malaria considering her limited access to transportation and healthcare facilities? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Referral, Health Supplies",Do you keep in touch with village health team to gain knowledge on available health programs? Which measures do you employ to fight malaria? Do you attend ANC?,She has powers and she is her own healer.,"No man is an island, one can believe in their own divinity but malaria is treated through administration of antimalarials.",Get acqainted with the village health team and inquire on the available health programs. Attend ANC regularly.
ruby 26 year old pregnant woman first trimester undocumented immigrant limited access healthcare service ruby doesnot believe modern modern medication work diagnose malaria experience symptom headache fatigue,"Malaria, First trimester, Undocumented immigrant, Limited healthcare access",How would you manage Ruby's malaria considering her undocumented status and limited access to healthcare services? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Referral, Health Supplies",Do you attend ANC? How do you access medical services? Which measures do you employ to fight malaria?,Modern medication does not work.,"Modern medication goes through a series of tests before it is released for use, if used correctly, it works.",Attend ANC regularly. Adopt measures to fight malaria and for protection against it.
stella 34 year old pregnant woman second trimester live area high level air pollution stella eat grasshopper cause baby pointed mouth like diagnose malaria worried impact air pollution pregnancy,"Malaria, Second trimester, Air pollution, Environmental inequality",How would you manage Stella's malaria considering her exposure to high levels of air pollution? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you know about the various conditions that can complicate a pregnancy? Do you know the danger signs during pregnancy? Do you attend ANC?,Grasshoppers cause the baby to have a pointed mouth.,"A baby's physical appearance is genetically determined, it has nothing to do with eating grasshoppers.",Attend ANC regularly. Attend health education talks for relaiable information.
ariana 24 year old pregnant woman second trimester live area inadequate healthcare infrastructure diagnose malaria due lack education unsure manage condition believe disease bring curse,"Malaria, Second trimester, Inadequate healthcare, Lack of education",How would you manage Ariana's malaria considering her lack of education and inadequate healthcare access? What measures can be taken to improve her knowledge of malaria management?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ to fight malaria? How much knowledge do you have on malaria? Do you attend ANC?,Diseases are because of curses.,"Diseases like malaria catch everyone curses or not, they can be cured.",Adopt measures for protection against malaria. Attend ANC regularly. Attend health education talks to gain kn owledge.
aaliyah 23 year old pregnant woman third trimester live region high income inequality diagnose malaria struggle access antenatal care service due low socioeconomic status also believe malaria heal without treatment,"Malaria, Third trimester, Income inequality, Low socioeconomic status",How would you manage Aaliyah's malaria considering her low socioeconomic status and income inequality in her region? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do oyu employ to fight against malaria? Do you attend ANC?,Malaria can heal without medication.,"By the time one suffers from malaria, then the body has fought it and failed, it therefore cannot heal on its own.",Adopt measures to fight malaria. Attend ANC regularly. Take antimalarials as prescribed.
gabriella 27 year old pregnant woman first trimester indigenous woman live remote village diagnose malaria experience symptom nausea vomit gabriela insist nausea vomiting normal pregnancy,"Malaria, First trimester, Indigenous woman, Remote village",How would you manage Gabriella's malaria considering her indigenous background and remote living conditions? What measures can be taken to improve her access to healthcare?,"Management of Malaria in Pregnancy, Antenatal Care, Referral, Health Supplies",Do you attend ANC? Which measures do you employ to fight malaria? Do you attend health education talks?,Nausea and vomiting are normal during pregnancy.,Hyperemesis gravidarum occurs during pregnancy but it doesnot occur with other signs and symptoms that come with malaria.,Attend health education talks and ANC regularly. Adopt measures for protection against malaria.
isabella 28 year old pregnant woman second trimester live densely populate urban area limited access green space diagnose malaria worried impact urbanization pregnancy tell fume cause cancer,"Malaria, Second trimester, Urban area, Urbanization",How would you manage Isabella's malaria considering her exposure to urbanization and limited access to green spaces? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",How do you minimize the effects of pollution? Do you attend ANC? Do oyu attend health education talks?,Fumes cause cancer.,"Fumes pollute the air, they are disastrous to one's health but they do not cause cancer directly.",Participate in the restoration of a green space by reducing on plastic disposition. Attend ANC and health education talks regularly.
sophia 30 year old pregnant woman third trimester live region high level political instability diagnose malaria experience symptom fever chill sophia believe sour medicine make unborn baby bitter character,"Malaria, Third trimester, Political instability",How would you manage Sophia's malaria considering the political instability in her region? What measures can be taken to ensure her safety and access to healthcare?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Which measures do you employ to remain safe? Do you attend ANC? Do you attend health education talks?,Sour medicines give the unborn baby a bitter character.,"When medicines are taken, they dissolve and the required components are transported to the active sites. A bitter character is not related to medicines.",Adopt measures to remain safe from rioters. Attend ANC regularly and attend health education talks for reliable information.
ava 25 year old pregnant woman first trimester sex worker limited access healthcare service diagnose malaria worried impact occupation pregnancy tell vegetable poisonous,"Malaria, First trimester, Sex worker, Limited healthcare access",How would you manage Ava's malaria considering her occupation and limited access to healthcare services? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you practice safe sex in your occupation? Do you attend health education talks?,Vegetables are poisonous.,"Vegetables are rich in minerals crutial for blood cell production, it is therefore necessary to add them to the diet. They are not poisonous as long as they are stored and cooked safely.",Practice safe sex methods so as to avoid infections. Attend health education talks for reliable information.
emma 32 year old pregnant woman second trimester live area high prevalence child marriage diagnose malaria experience symptom headache fatigue believe malaria kill unborn baby instantly,"Malaria, Second trimester, Child marriage, Prevalence",How would you manage Emma's malaria considering the high prevalence of child marriage in her area? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Are you happy with your pregnancy? Do you atttend ANC? Do you ttend health education talks?,Malaria kills unborn babies instantly.,"Malaria affects the baby in-utero but gradually, if the malaria is effectively mananged, the pregnancy progresses normally.",Talk to a therapist in order to fully accept your pregnancy. Attend ANC regularly and health education talks.
mia 26 year old pregnant woman third trimester domestic worker access maternity leave employment benefit diagnose malaria experience severe symptom mia believe tha malaria curse cure,"Malaria, Third trimester, Domestic worker, No maternity leave",How would you manage Mia's malaria considering her employment disparities and severe symptoms? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you attend health education talks? Is there a social worker that you can talk to?,Malaria is a curse and it has no cure.,Malaria is a disease spread by a mosquito bite and it is curable.,Talk to a social worker and get some help. Attend ANC regularly and health education talks for reliable information.
amelia 29 year old pregnant woman first trimester live refugee camp limited access healthcare facility diagnose malaria lack access clean water sanitation facility also tell fast kill malaria parasite,"Malaria, First trimester, Refugee camp, Lack of clean water and sanitation",How would you manage Amelia's malaria considering her living conditions in a refugee camp? What measures can be taken to improve her access to clean water and sanitation facilities?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend health education talks? Do you attend ANC? Which measures do you employ to fight malaria?,Fasting kills the malaria parasites.,"Fasting builds faith but it does not cure malaria. It does not kill the parasites, it just makes the disease worse.",Attend health education talks organised in the community. Attend ANC regularly. Adopt various ways to mitigate malaria infections.
harper 31 year old pregnant woman second trimester live region high level gender inequality tell malaria attack woman weak gender diagnose malaria worried impact gender inequality pregnancy,"Malaria, Second trimester, Gender inequality",How would you manage Harper's malaria considering the gender inequality in her region? What recommendations can you provide to ensure her health and the health of her unborn child?,"Management of Malaria in Pregnancy, Antenatal Care, Health Supplies",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight against malaria?,"Malaria attacks women, the weaker gender.",Malaria attacks both men and women equally.,Adopt measures to fight against malaria. Attend ANC regularly and health education talks organised in the community and in hospitals for reliable information.
emily 26 year old pregnant woman read social medium certain herbal remedy cure malaria despite diagnose malaria decide rely solely remedy,"Malaria, Herbal remedies, Social media, Misinformation",How would you address Emily's reliance on herbal remedies for malaria management? How would you educate her on evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",How much do you know about malaria? Do you attend health education talks? Do you attend ANC?,Herbal remedies cure malaria.,Herbal remedies are not purified or regulated and so should not be relied upon.,Attend ANC regularly. Attend health education talks. Adopt measures to fight against malaria. 
zoe 30 year old pregnant woman third trimester expose disinformation online suggesting antimalarial drug harm fetus hesitant take prescribe antimalarial medication,"Malaria, Third trimester, Disinformation, Antimalarial drugs",How would you address Zoe's concerns regarding antimalarial drugs? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Where do you usually go for treatment?,Antimalarials can harm the fetus.,"Not all antimalarials during pregnancy, some can harm the fetus. It is important to get medication from a credible health facility.",Attend ANC regularly. Attend health eduication talks. Take antimalarials as prescribed and avoid over the counter treatment during pregnancy.
aiden 25 year old pregnant woman hear friend sleep mosquito net cause respiratory problem avoid use despite diagnose malaria,"Malaria, Mosquito nets, Myths, Respiratory problems",How would you address Aiden's beliefs about mosquito nets? How would you educate her on the importance of mosquito nets in malaria prevention?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend health education talks? Do you attend ANC?  ,Sleeping under a mosquito net causes respiratory problems.,"Mosquito nets are enfused with medication that kills mosquitos. This is not harmful to humana however, if its too much, it can irritake some people, this can be managed.",Attend ANC and health education talks regularly.
emily 28 year old pregnant woman influence misinformation social medium suggest intermittent preventive treatment pregnancy iptp unnecessary skip schedule iptp dose,"Malaria, IPTp, Misinformation, Social media",How would you address Emily's beliefs about IPTp? How would you educate her on the importance of IPTp in preventing malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ to fight against malaria? Do you add vegetables to your diet?,IPTp is unnecessary.,IPTp reduces the chances one stands to get malaria.,Adopt measures to fight malaria. Eat more vegetables to increase the iron and folic acid reserve in the body.
harper 27 year old pregnant woman read online pregnant woman malaria avoid eat certain food become overly restrictive diet impact nutritional intake,"Malaria, Dietary restrictions, Disinformation, Nutritional intake",How would you address Harper's dietary restrictions due to disinformation? How would you provide her with evidence-based dietary advice during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks?,"In preganancy, certain foods should be avoided.","During a preganancy, a balanced diet should be observed.",Attend ANC regularly. Attend health education talks for accurate information.
grace 31 year old pregnant woman hear family member antimalarial drug cause infertility avoid take prescribe antimalarial medication despite diagnose malaria,"Malaria, Antimalarial drugs, Myths, Infertility",How would you address Grace's concerns regarding antimalarial drugs and infertility? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight against malaria?,Antimalarial drugs can cause infertility.,"Antimalarials used during pregnancy are proved to be safe, infertility is caused by other things.",Adopt measures to fight against malaria. Attend ANC regularly and health education talks organised in the community and in hospitals for reliable information.
luna 29 year old pregnant woman read social medium exposure sunlight cure malaria spend long hour sun neglect prescribe antimalarial medication,"Malaria, Sunlight exposure, Misinformation, Social media",How would you address Luna's reliance on sunlight for malaria treatment? How would you educate her on evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend anc? Do you attend health education talks?,Exposure to sunlight cures malaria.,Exposure to sunlight aids in formation of vitamin D but it does not cure malaria.,Attend ANC regularly and health education talks for relaible information.
ella 32 year old pregnant woman hear friend antimalarial drug cause birth defect avoid take prescribe antimalarial medication despite diagnose malaria,"Malaria, Antimalarial drugs, Myths, Birth defects",How would you address Ella's concerns regarding antimalarial drugs and birth defects? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Where do you get medical assistance from?,Antimalarial drugs cause birth defects.,"All antimalarials are not safe during pregnancy, but those used during pregnancy are safe.","Attend ANC regularly and attend health education talks. Avoid over the counter medication, get medical assistance from a credible facility."
ava 26 year old pregnant woman read online pregnant woman malaria avoid drinking water becomes dehydrate due misinformation,"Malaria, Water intake, Misinformation, Dehydration",How would you address Ava's beliefs about water intake and malaria? How would you educate her on the importance of hydration during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks?,Pregnant women with malaria should avoid drinking water.,Drinking water is crucial for every human being.,Attend ANC regularly and attend health education talks for credible information.
charlotte 27 year old pregnant woman hear neighbor antimalarial drug cause weight gain avoid take prescribe antimalarial medication despite diagnose malaria,"Malaria, Antimalarial drugs, Myths, Weight gain",How would you address Charlotte's concerns regarding antimalarial drugs and weight gain? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Where do you usually get your health services from?,Antimalarial drugs can cause weight gain.,This is not scientifically proven. Weight gain is caused by other ways or habits.,Attend ANC regularly and health education talks for reliable information. Get medical assistance from a credible health facility.
isabella 28 year old pregnant woman believe take iron supplement increase risk malaria stop take iron supplement despite diagnose anemia,"Malaria, Iron supplements, Anemia, Misinformation",How would you address Isabella's beliefs about iron supplements and malaria? How would you ensure her adherence to the recommended iron supplements for anemia during pregnancy?,"Management of Malaria in Pregnancy, Anaemia in Pregnancy",Do you attend ANC? Do you attend health education talks? Where do you usually get your health services from?,Iron supplements put one at risk of getting malaria.,"Iron supplements increase formation of blood, this counteracts the effects caused by malaria parasites.",Attend ANC regularly and health education talks for reliable information. Get medical assistance from a credible health facility.
amelia 30 year old pregnant woman expose online misinformation suggest pregnant woman avoid use insect repellent prevent malaria get frequent mosquito bite result,"Malaria, Insect repellent, Mosquito bites, Disinformation",How would you address Amelia's concerns regarding insect repellent? How would you educate her on the importance of insect repellent in malaria prevention during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Which measures do you employ to fight against malaria? Do you attend ANC?,Pregnant women should not use mosquito repellants to fight malaria.,"Mosquito repellants as sometimes sprayed, smoked or smeared on the skin, so, unless they particularly irritate an individual, they are safe for use even for pregnant women.",Adopt measures to fight malaria and learn their correct use. Attend ANC regalarly.
mia 27 year old pregnant woman hear myth friend malaria cause eat certain fruit become overly restrictive diet,"Malaria, Fruits, Dietary restrictions, Myths",How would you address Mia's beliefs about fruits and malaria? How would you provide her with evidence-based dietary advice during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks?,Malaria is caused by eating certain fruits.,"Malaria is a caused by a mosquito bite but not fruits. Fruits are rich in vitamins, which are very important to a pregnant woman.",Attend ANC regularly and health education talks for reliable information.
sophia 25 year old pregnant woman believe malaria result curse avoid seek medical treatment get sick pregnancy progress,"Malaria, Curse, Beliefs, Medical treatment",How would you address Sophia's beliefs about malaria being a curse? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Which measures do you employ to fight against malaria?,Malaria is because of a curse.,"A bite from an infected mosquito causes or spreads malaria, cursed or not, anyone can suffer from it.",Adopt measures for protection against malaria. Attend ANC regularly. Attend health education talks to gain knowledge.
abigail 29 year old pregnant woman hear family member pregnant woman malaria avoid physical activity become sedentary gain excessive weight,"Malaria, Physical activity, Sedentary, Weight gain",How would you address Abigail's beliefs about physical activity and malaria? How would you provide her with evidence-based advice on physical activity during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? Do you think physical activity is dangerous?,Pregnant women should avoid physical activities.,"Physical activities are good for the body, they improve digestion and blood circulation. During pregnancy, they should not be streinous.",Attend ANC regularly. Attend health education talks. Engage in physical activity but not streinous to improve blood circulation.
olivia 26 year old pregnant woman read online use antimalarial drug pregnancy cause preterm labor avoid take prescribe antimalarial medication,"Malaria, Antimalarial drugs, Preterm labor, Disinformation",How would you address Olivia's concerns regarding antimalarial drugs and preterm labor? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Preterm (Premature) Labour",Do you attend ANC? Do you attend health education talks?,Antimalarials use during pregnancy causes preterm labour.,"Antimalarials used during pregnancy are proved to be safe, preterm labour is caused by other things.",Attend ANC regularly and health education talks for reliable information.
lily 31 year old pregnant woman influence online misinformation suggest pregnant woman malaria avoid take folic acid supplement stop take folic acid supplement,"Malaria, Folic acid supplements, Misinformation, Social media",How would you address Lily's beliefs about folic acid supplements and malaria? How would you ensure her adherence to the recommended folic acid supplements during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend ANC? Do you attend health education talks? ,Pregnant women with malaria should avoid folic acid supplements.,"Folic acid is required in the formation of red blood cells. In the malaria infection process. Red blood cells are depleted, folic acid is therefore important in their restoration.",Attend ANC regularly. Attend health education talks. Take antimalarials and folic acid supplements as directed.
avery 28 year old pregnant woman hear myth neighbor malaria result bad karma become anxious avoid seek medical care,"Malaria, Bad karma, Beliefs, Anxiety",How would you address Avery's beliefs about malaria being a result of bad karma? How would you ensure her adherence to evidence-based treatments for malaria during pregnancy?,"Management of Malaria in Pregnancy, Antenatal Care, Health Education",Do you attend health education talks? Do you attend ANC? Which measures do you employ to fight against malaria?,Malaria is a result of bad karma.,"Malaria is caused by a bite from an infected mosquito, bad karma or not, anyone can suffer from the disease.",Attend health education talks and ANC regularly. Adopt measures for protection against malaria.
